傌	㐷 骂
䠶	射
將	将
尒	尔
爾	尔
塵	尘
尙	尚
嘗	尝
嚐	尝
甞	尝
堯	尧
尷	尴
屍	尸
儘	尽
盡	尽
侷	局
跼	局
層	层
屓	屃
屜	屉
屆	届
屛	屏
屬	属
屢	屡
屨	屦
嶼	屿
嵗	岁
歲	岁
𡻕	岁
豈	岂
嶇	岖
崗	岗
峴	岘
嵐	岚
㠀	岛
島	岛
嵒	岩
巖	岩
巗	岩 𪨷
嶺	岭
嶽	岳
㟁	岸
崬	岽
巋	岿
嶨	峃
嶧	峄
峝	峒
峽	峡
嶢	峣
嶠	峤
崢	峥
巒	峦
峩	峨
陗	峭
峯	峰
嶗	崂
崍	崃
嶮	崄
嶃	崭
嶄	崭
嶸	嵘
嶔	嵚
嶁	嵝
巔	巅
廵	巡
鉅	巨 钜
鞏	巩
巰	巯
幣	币
佈	布
帥	帅
㠶	帆
颿	帆
師	师
幃	帏
帳	帐 账
簾	帘
袟	帙
袠	帙
箒	帚
幟	帜
帶	带
幀	帧
蓆	席
幇	帮
幚	帮
幫	帮
幬	帱
幘	帻
幗	帼
㡌	帽
冪	幂
幙	幕
乹	干
乾	干 乾
亁	干
幹	干
榦	干
秊	年
並	并
併	并
竝	并
倖	幸
廣	广
莊	庄
慶	庆
牀	床
廬	庐
廡	庑
庫	库
應	应
廟	庙
龐	庞
廢	废
癈	废
菴	庵
庻	庶
廎	庼
㢘	廉
亷	廉
廩	廪
開	开
異	异
棄	弃
挵	弄
衖	弄
𡚁	弊
弒	弑
張	张
彌	弥
瀰	弥
絃	弦
弳	弪
彎	弯
彈	弹
強	强
彊	强
歸	归
噹	当
當	当
彔	录
錄	录
録	录
彞	彝
彠	彟
彥	彦
彲	彨
綵	彩
彷	彷 仿
徹	彻
徃	往
徵	征 徵
徑	径
狥	徇
徠	徕
禦	御
惪	德
幑	徽
憶	忆
懺	忏
誌	志
啎	忤
憂	忧
唸	念
愾	忾
懷	怀
態	态
慫	怂
憮	怃
慪	怄
悵	怅
愴	怆
憐	怜
恠	怪
總	总
懟	怼
懌	怿
戀	恋
怳	恍
恆	恒
䘏	恤
卹	恤
賉	恤
㤙	恩
懇	恳
噁	恶 𫫇
惡	恶
慟	恸
懨	恹
愷	恺
惻	恻
惱	恼
惲	恽
惥	恿
慂	恿
猂	悍
誖	悖
悅	悦
愨	悫
慤	悫
懸	悬
慳	悭
悞	悮
憫	悯
顇	悴
㥫	惇
驚	惊
懼	惧
